#runID	nEvts	server
008912	2183	e906-db3.fnal.gov
008914	6535	e906-db3.fnal.gov
008915	4428	e906-db3.fnal.gov
008916	160539	e906-db3.fnal.gov
008917	27446	e906-db3.fnal.gov
008918	168067	e906-db3.fnal.gov
008919	175114	e906-db3.fnal.gov
008920	196312	e906-db3.fnal.gov
008921	165078	e906-db3.fnal.gov
008922	253755	e906-db3.fnal.gov
008924	75305	e906-db3.fnal.gov
008925	156535	e906-db3.fnal.gov
008926	164188	e906-db3.fnal.gov
008927	162280	e906-db3.fnal.gov
008928	158434	e906-db3.fnal.gov
008929	160346	e906-db3.fnal.gov
008930	163425	e906-db3.fnal.gov
008932	35123	e906-db3.fnal.gov
008933	64935	e906-db3.fnal.gov
008934	75619	e906-db3.fnal.gov
008935	157537	e906-db3.fnal.gov
008936	161791	e906-db3.fnal.gov
008937	153753	e906-db3.fnal.gov
008938	163310	e906-db3.fnal.gov
008939	153703	e906-db3.fnal.gov
008940	145984	e906-db3.fnal.gov
008941	147564	e906-db3.fnal.gov
008942	151027	e906-db3.fnal.gov
008943	150219	e906-db3.fnal.gov
008944	151336	e906-db3.fnal.gov
008945	150056	e906-db3.fnal.gov
008946	155123	e906-db3.fnal.gov
008947	159158	e906-db3.fnal.gov
008948	124250	e906-db3.fnal.gov
008949	5882	e906-db3.fnal.gov
008950	41747	e906-db3.fnal.gov
008951	175878	e906-db3.fnal.gov
008952	158875	e906-db3.fnal.gov
008953	160839	e906-db3.fnal.gov
008954	144107	e906-db3.fnal.gov
008955	65895	e906-db3.fnal.gov
008958	508789	e906-db3.fnal.gov
008959	510921	e906-db3.fnal.gov
008960	165452	e906-db3.fnal.gov
008961	185594	e906-db3.fnal.gov
008962	82262	e906-db3.fnal.gov
008963	35135	e906-db3.fnal.gov
008964	182426	e906-db3.fnal.gov
008965	161052	e906-db3.fnal.gov
008966	158733	e906-db3.fnal.gov
008967	160815	e906-db3.fnal.gov
008968	171600	e906-db3.fnal.gov
008969	161397	e906-db3.fnal.gov
008970	155882	e906-db3.fnal.gov
008971	154136	e906-db3.fnal.gov
008972	155375	e906-db3.fnal.gov
008973	156181	e906-db3.fnal.gov
008974	157394	e906-db3.fnal.gov
008975	156946	e906-db3.fnal.gov
008976	88039	e906-db3.fnal.gov
008977	155254	e906-db3.fnal.gov
008978	158913	e906-db3.fnal.gov
008979	161766	e906-db3.fnal.gov
008980	163701	e906-db3.fnal.gov
008981	139825	e906-db3.fnal.gov
008982	163066	e906-db3.fnal.gov
008983	162209	e906-db3.fnal.gov
008984	160281	e906-db3.fnal.gov
008985	155644	e906-db3.fnal.gov
008986	179075	e906-db3.fnal.gov
008987	151935	e906-db3.fnal.gov
008988	136743	e906-db3.fnal.gov
008989	160857	e906-db3.fnal.gov
008990	152720	e906-db3.fnal.gov
008991	158477	e906-db3.fnal.gov
008992	17664	e906-db3.fnal.gov
008993	68569	e906-db3.fnal.gov
009002	163340	e906-db3.fnal.gov
009003	169372	e906-db3.fnal.gov
009004	41408	e906-db3.fnal.gov
009005	162798	e906-db3.fnal.gov
009006	161325	e906-db3.fnal.gov
009007	157694	e906-db3.fnal.gov
009008	153880	e906-db3.fnal.gov
009009	155981	e906-db3.fnal.gov
009010	27526	e906-db3.fnal.gov
009011	152778	e906-db3.fnal.gov
009012	152372	e906-db3.fnal.gov
009013	21645	e906-db3.fnal.gov
009014	156408	e906-db3.fnal.gov
009015	155595	e906-db3.fnal.gov
009016	154471	e906-db3.fnal.gov
009017	56001	e906-db3.fnal.gov
009018	21080	e906-db3.fnal.gov
009019	160888	e906-db3.fnal.gov
009020	169469	e906-db3.fnal.gov
009021	159479	e906-db3.fnal.gov
009022	141076	e906-db3.fnal.gov
009023	31669	e906-db3.fnal.gov
009024	162118	e906-db3.fnal.gov
009025	7430	e906-db3.fnal.gov
009027	156697	e906-db3.fnal.gov
009028	158347	e906-db3.fnal.gov
009029	156562	e906-db3.fnal.gov
009030	156535	e906-db3.fnal.gov
009031	65745	e906-db3.fnal.gov
009032	156251	e906-db3.fnal.gov
009033	170176	e906-db3.fnal.gov
009034	148526	e906-db3.fnal.gov
009035	83880	e906-db3.fnal.gov
009036	153426	e906-db3.fnal.gov
009037	151893	e906-db3.fnal.gov
009038	151489	e906-db3.fnal.gov
009039	153930	e906-db3.fnal.gov
009040	150854	e906-db3.fnal.gov
009041	154464	e906-db3.fnal.gov
009042	156924	e906-db3.fnal.gov
009044	57152	e906-db3.fnal.gov
009045	150501	e906-db3.fnal.gov
009046	99270	e906-db3.fnal.gov
009047	156306	e906-db3.fnal.gov
009048	150750	e906-db3.fnal.gov
009049	41909	e906-db3.fnal.gov
009050	4377	e906-db3.fnal.gov
009051	162702	e906-db3.fnal.gov
009052	174885	e906-db3.fnal.gov
009053	104357	e906-db3.fnal.gov
009054	161429	e906-db3.fnal.gov
009055	166357	e906-db3.fnal.gov
009056	158849	e906-db3.fnal.gov
